year,area_of_residence,STATISTIC,value
2014,Ulster (part of),VSA38,12.9
2018,Louth,VSA38,12.9
2018,Leinster,VSA38,12.9
2012,Waterford County,VSA38,12.9
2019,Kildare,VSA38,12.9
2020,Cavan,VSA38,12.9
2018,Cork County,VSA38,12.9
2016,Border,VSA38,12.9
2017,State,VSA38,12.9
2016,Connacht,VSA38,12.9
2020,Fingal,VSA38,12.9
2018,Mid-East,VSA38,12.8
2017,Wicklow,VSA38,12.8
2020,Westmeath,VSA38,12.8
2012,Donegal,VSA38,12.8
2014,South Tipperary,VSA38,12.8
2015,Ulster (part of),VSA38,12.8
2013,Clare,VSA38,12.8
2015,Cork City,VSA38,12.8
2021,Waterford City,VSA38,12.8
2016,South-West,VSA38,12.8
2014,Mayo,VSA38,12.8
2018,Tipperary,VSA38,12.7
2017,Offaly,VSA38,12.7
2018,Leitrim,VSA38,12.7
2014,Leitrim,VSA38,12.7
2021,Kildare,VSA38,12.7
2018,Galway County,VSA38,12.7
2015,Kilkenny,VSA38,12.7
2015,Offaly,VSA38,12.7
2019,Carlow,VSA38,12.7
2020,Kildare,VSA38,12.7
2016,Dun Laoghaire-Rathdown,VSA38,12.7
2016,Offaly,VSA38,12.7
2017,Mid-West,VSA38,12.7
2016,North Tipperary,VSA38,12.7
2017,North Tipperary,VSA38,12.7
2016,South-East,VSA38,12.7
2016,Ulster (part of),VSA38,12.7
2018,Midland,VSA38,12.6
2019,Mid-East,VSA38,12.6
2021,Galway County,VSA38,12.6
2020,Carlow,VSA38,12.6
2019,Galway County,VSA38,12.6
2013,Cork City,VSA38,12.6
2014,Roscommon,VSA38,12.6
2016,Wexford,VSA38,12.6
2021,Longford,VSA38,12.6
2020,South Dublin,VSA38,12.6
2018,State,VSA38,12.6
2021,Carlow,VSA38,12.6
2017,Wexford,VSA38,12.6
2018,Galway City,VSA38,12.5
2014,Waterford County,VSA38,12.5
2018,Limerick County,VSA38,12.5
2014,Clare,VSA38,12.5
2019,Dublin,VSA38,12.5
2021,Mid-East,VSA38,12.5
2020,Waterford City,VSA38,12.5
2020,Longford,VSA38,12.5
2018,Dublin City,VSA38,12.5
2019,Laois,VSA38,12.5
2021,Limerick City,VSA38,12.5
2022,Waterford City,VSA38,12.4
2017,Monaghan,VSA38,12.4
2018,Mid-West,VSA38,12.4
2016,Clare,VSA38,12.4
2015,South Tipperary,VSA38,12.4
2017,Border,VSA38,12.4
2017,West,VSA38,12.4
2019,Westmeath,VSA38,12.4
2019,Leinster,VSA38,12.4
2017,Munster,VSA38,12.4
2019,Louth,VSA38,12.4
2019,Cavan,VSA38,12.4
2017,South-East,VSA38,12.3
2017,South-West,VSA38,12.3
2018,Ulster (part of),VSA38,12.3
2019,Midland,VSA38,12.3
2018,Munster,VSA38,12.3
2017,Leitrim,VSA38,12.3
2018,Border,VSA38,12.3
2013,Donegal,VSA38,12.3
2015,Sligo,VSA38,12.3
2019,Roscommon,VSA38,12.3
2017,South Tipperary,VSA38,12.2
2017,Connacht,VSA38,12.2
2021,Leinster,VSA38,12.2
2021,Cavan,VSA38,12.2
2021,Midland,VSA38,12.2
2021,Cork County,VSA38,12.2
2021,Dublin,VSA38,12.2
2013,Kerry,VSA38,12.2
2017,Ulster (part of),VSA38,12.2
2017,Waterford County,VSA38,12.2
2019,Cork County,VSA38,12.1
2020,Limerick City,VSA38,12.1
2019,Dublin City,VSA38,12.1
2018,Laois,VSA38,12.1
2023,Waterford City,VSA38,12.1
2016,Kilkenny,VSA38,12.1
2022,Cavan,VSA38,12.1
2023,Limerick City,VSA38,12.1
2021,Tipperary,VSA38,12.1
2017,Galway City,VSA38,12.1
2021,Louth,VSA38,12.1
2021,Leitrim,VSA38,12.1
2012,Cork City,VSA38,12.1
2015,Mayo,VSA38,12.1
2018,South-East,VSA38,12.1
2018,South-West,VSA38,12.1
2019,State,VSA38,12.0
2020,Monaghan,VSA38,12.0
2018,Sligo,VSA38,12.0
2016,Sligo,VSA38,12.0
2015,Donegal,VSA38,11.9
2015,Roscommon,VSA38,11.9
2022,Limerick City,VSA38,11.9
2016,Donegal,VSA38,11.9
2019,West,VSA38,11.9
2019,Connacht,VSA38,11.9
2016,Mayo,VSA38,11.9
2021,State,VSA38,11.9
2018,Connacht,VSA38,11.9
2020,Meath,VSA38,11.9
2020,Mid-East,VSA38,11.9
2023,Kildare,VSA38,11.9
2018,West,VSA38,11.9
2017,Clare,VSA38,11.9
2020,Limerick County,VSA38,11.8
2023,Meath,VSA38,11.8
2023,Cavan,VSA38,11.8
2020,Cork County,VSA38,11.8
2021,Laois,VSA38,11.8
2021,Dublin City,VSA38,11.8
2014,Kerry,VSA38,11.8
2016,Cork City,VSA38,11.8
2018,Wexford,VSA38,11.8
2018,Offaly,VSA38,11.8
2017,Waterford City,VSA38,11.8
2016,Kerry,VSA38,11.7
2021,Wicklow,VSA38,11.7
2020,Leinster,VSA38,11.7
2020,Midland,VSA38,11.7
2016,Roscommon,VSA38,11.7
2020,Dublin,VSA38,11.7
2020,Louth,VSA38,11.7
2019,Monaghan,VSA38,11.7
2014,Donegal,VSA38,11.7
2017,Roscommon,VSA38,11.7
2017,Kilkenny,VSA38,11.7
2019,Wicklow,VSA38,11.7
2022,South Dublin,VSA38,11.7
2022,Carlow,VSA38,11.6
2021,Munster,VSA38,11.6
2021,West,VSA38,11.6
2021,Connacht,VSA38,11.6
2019,Border,VSA38,11.6
2016,Waterford City,VSA38,11.6
2021,South-West,VSA38,11.6
2018,Donegal,VSA38,11.6
2021,Offaly,VSA38,11.6
2021,Mid-West,VSA38,11.6
2019,Wexford,VSA38,11.6
2018,Wicklow,VSA38,11.5
2021,Border,VSA38,11.5
2022,Meath,VSA38,11.5
2015,Kerry,VSA38,11.5
2019,Ulster (part of),VSA38,11.5
2020,Leitrim,VSA38,11.5
2019,South-East,VSA38,11.5
2022,Galway County,VSA38,11.5
2019,Mid-West,VSA38,11.5
2019,Galway City,VSA38,11.4
2019,South-West,VSA38,11.4
2017,Mayo,VSA38,11.4
2021,Limerick County,VSA38,11.4
2018,Clare,VSA38,11.4
2018,Dun Laoghaire-Rathdown,VSA38,11.4
2021,Sligo,VSA38,11.4
2017,Donegal,VSA38,11.4
2021,Ulster (part of),VSA38,11.4
2019,Offaly,VSA38,11.4
2020,Galway County,VSA38,11.4
2019,Munster,VSA38,11.4
2018,Waterford County,VSA38,11.4
2021,Wexford,VSA38,11.4
2020,State,VSA38,11.4
2020,Ulster (part of),VSA38,11.4
2021,South-East,VSA38,11.3
2020,Border,VSA38,11.3
2017,Sligo,VSA38,11.3
2022,Westmeath,VSA38,11.3
2019,Limerick County,VSA38,11.3
2021,Roscommon,VSA38,11.3
2020,Dublin City,VSA38,11.3
2023,South Dublin,VSA38,11.2
2020,Mid-West,VSA38,11.2
2019,Sligo,VSA38,11.2
2017,Kerry,VSA38,11.2
2019,Tipperary,VSA38,11.2
2023,Longford,VSA38,11.2
2022,Kildare,VSA38,11.2
2023,Mid-East,VSA38,11.2
2018,Kilkenny,VSA38,11.1
2019,Mayo,VSA38,11.1
2017,Cork City,VSA38,11.1
2023,Westmeath,VSA38,11.1
2020,Munster,VSA38,11.1
2022,Mid-East,VSA38,11.1
2020,Sligo,VSA38,11.1
2020,Offaly,VSA38,11.1
2022,Fingal,VSA38,11.0
2022,Leitrim,VSA38,11.0
2022,Longford,VSA38,11.0
2023,Galway County,VSA38,11.0
2018,Mayo,VSA38,11.0
2021,Mayo,VSA38,11.0
2021,Clare,VSA38,11.0
2023,Monaghan,VSA38,11.0
2020,South-East,VSA38,11.0
2020,South-West,VSA38,11.0
2019,Donegal,VSA38,11.0
2022,Louth,VSA38,11.0
2018,Kerry,VSA38,11.0
2021,Kerry,VSA38,11.0
2023,Louth,VSA38,10.9
2020,Wicklow,VSA38,10.9
2020,Wexford,VSA38,10.9
2019,Clare,VSA38,10.9
2018,Roscommon,VSA38,10.8
2019,Dun Laoghaire-Rathdown,VSA38,10.8
2018,Cork City,VSA38,10.8
2023,Fingal,VSA38,10.8
2020,Tipperary,VSA38,10.8
2022,Dublin City,VSA38,10.8
2020,Connacht,VSA38,10.8
2022,Leinster,VSA38,10.7
2023,Ulster (part of),VSA38,10.7
2020,Laois,VSA38,10.7
2019,Kilkenny,VSA38,10.7
2022,Dublin,VSA38,10.7
2020,West,VSA38,10.7
2021,Galway City,VSA38,10.7
2023,Leinster,VSA38,10.6
2020,Roscommon,VSA38,10.6
2023,Wexford,VSA38,10.6
2021,Kilkenny,VSA38,10.6
2020,Clare,VSA38,10.6
2022,State,VSA38,10.5
2022,South-East,VSA38,10.5
2022,Ulster (part of),VSA38,10.5
2023,Midland,VSA38,10.5
2022,Monaghan,VSA38,10.5
2022,Midland,VSA38,10.5
2022,Wexford,VSA38,10.5
2019,Cork City,VSA38,10.5
2022,Cork County,VSA38,10.5
2023,Border,VSA38,10.4
2020,Galway City,VSA38,10.4
2022,Border,VSA38,10.4
2022,Limerick County,VSA38,10.4
2023,Carlow,VSA38,10.4
2020,Donegal,VSA38,10.4
2021,Donegal,VSA38,10.4
2023,Dublin,VSA38,10.4
2023,State,VSA38,10.3
2020,Waterford County,VSA38,10.3
2022,West,VSA38,10.3
2023,Dublin City,VSA38,10.3
2021,Cork City,VSA38,10.3
2019,Kerry,VSA38,10.3
2022,Mid-West,VSA38,10.3
2023,Laois,VSA38,10.2
2021,Waterford County,VSA38,10.2
2022,Connacht,VSA38,10.2
2022,Wicklow,VSA38,10.2
2022,Tipperary,VSA38,10.1
2023,Mid-West,VSA38,10.1
2019,Waterford County,VSA38,10.1
2020,Mayo,VSA38,10.1
2022,Munster,VSA38,10.1
2022,Laois,VSA38,10.1
2020,Dun Laoghaire-Rathdown,VSA38,10.1
2023,South-East,VSA38,10.1
2022,Mayo,VSA38,10.0
2023,Donegal,VSA38,10.0
2023,Cork County,VSA38,10.0
2023,Offaly,VSA38,10.0
2023,West,VSA38,10.0
2023,Limerick County,VSA38,10.0
2023,Connacht,VSA38,9.9
2023,Sligo,VSA38,9.9
2022,South-West,VSA38,9.9
2023,Tipperary,VSA38,9.9
2020,Cork City,VSA38,9.9
2022,Offaly,VSA38,9.9
2023,Munster,VSA38,9.8
2020,Kerry,VSA38,9.8
2020,Kilkenny,VSA38,9.8
2023,Wicklow,VSA38,9.8
2022,Donegal,VSA38,9.8
2022,Roscommon,VSA38,9.8
2022,Kilkenny,VSA38,9.7
