year,age_group,sex,nuts_3_region,STATISTIC,value
2024,70 - 74 years,Male,South-East,PEA26C01,10173.0
2023,70 - 74 years,Female,South-East,PEA26C01,10172.0
2024,55 - 59 years,Female,Midland,PEA26C01,10138.0
2024,20 - 24 years,Male,Midland,PEA26C01,10128.0
2023,25 - 29 years,Female,Border,PEA26C01,10089.0
2024,75 - 79 years,Both sexes,Midland,PEA26C01,10048.0
2024,70 - 74 years,Female,Border,PEA26C01,9896.0
2024,70 - 74 years,Male,Border,PEA26C01,9894.0
2024,20 - 24 years,Female,Midland,PEA26C01,9893.0
2023,55 - 59 years,Male,Midland,PEA26C01,9873.0
2023,55 - 59 years,Female,Midland,PEA26C01,9853.0
2024,30 - 34 years,Female,Midland,PEA26C01,9853.0
2023,70 - 74 years,Male,South-East,PEA26C01,9830.0
2023,30 - 34 years,Female,Midland,PEA26C01,9775.0
2023,85 years and over,Both sexes,Mid-East,PEA26C01,9765.0
2023,80 - 84 years,Both sexes,South-East,PEA26C01,9744.0
2024,85 years and over,Both sexes,West,PEA26C01,9716.0
2024,80 - 84 years,Both sexes,Border,PEA26C01,9709.0
2023,70 - 74 years,Male,Border,PEA26C01,9671.0
2024,75 - 79 years,Female,Mid-West,PEA26C01,9640.0
2023,70 - 74 years,Female,Border,PEA26C01,9631.0
2023,75 - 79 years,Both sexes,Midland,PEA26C01,9621.0
2023,85 years and over,Both sexes,West,PEA26C01,9547.0
2023,0 - 4 years,Male,Midland,PEA26C01,9476.0
2023,20 - 24 years,Male,Midland,PEA26C01,9464.0
2024,85 years and over,Both sexes,Mid-West,PEA26C01,9431.0
2023,20 - 24 years,Female,Midland,PEA26C01,9287.0
2024,60 - 64 years,Male,Midland,PEA26C01,9274.0
2024,0 - 4 years,Male,Midland,PEA26C01,9239.0
2023,75 - 79 years,Female,Mid-West,PEA26C01,9225.0
2024,60 - 64 years,Female,Midland,PEA26C01,9216.0
2023,80 - 84 years,Both sexes,Border,PEA26C01,9164.0
2023,30 - 34 years,Male,Midland,PEA26C01,9147.0
2024,85 years and over,Male,Dublin,PEA26C01,9128.0
2023,0 - 4 years,Female,Midland,PEA26C01,9078.0
2023,85 years and over,Both sexes,Mid-West,PEA26C01,9062.0
2024,25 - 29 years,Male,Midland,PEA26C01,9060.0
2024,30 - 34 years,Male,Midland,PEA26C01,9031.0
2024,80 - 84 years,Female,South-West,PEA26C01,8939.0
2024,25 - 29 years,Female,Midland,PEA26C01,8821.0
2024,0 - 4 years,Female,Midland,PEA26C01,8815.0
2023,60 - 64 years,Male,Midland,PEA26C01,8798.0
2024,75 - 79 years,Male,Mid-West,PEA26C01,8760.0
2023,60 - 64 years,Female,Midland,PEA26C01,8741.0
2024,75 - 79 years,Female,West,PEA26C01,8727.0
2024,75 - 79 years,Male,West,PEA26C01,8680.0
2023,85 years and over,Male,Dublin,PEA26C01,8662.0
2023,25 - 29 years,Male,Midland,PEA26C01,8605.0
2023,80 - 84 years,Female,South-West,PEA26C01,8486.0
2023,75 - 79 years,Male,Mid-West,PEA26C01,8463.0
2024,85 years and over,Both sexes,South-East,PEA26C01,8426.0
2024,85 years and over,Female,South-West,PEA26C01,8416.0
2024,85 years and over,Both sexes,Border,PEA26C01,8385.0
2023,75 - 79 years,Female,West,PEA26C01,8381.0
2023,25 - 29 years,Female,Midland,PEA26C01,8349.0
2023,75 - 79 years,Male,West,PEA26C01,8337.0
2024,75 - 79 years,Female,South-East,PEA26C01,8282.0
2023,85 years and over,Both sexes,South-East,PEA26C01,8202.0
2023,85 years and over,Female,South-West,PEA26C01,8140.0
2023,75 - 79 years,Female,South-East,PEA26C01,7979.0
2023,85 years and over,Both sexes,Border,PEA26C01,7939.0
2024,75 - 79 years,Female,Border,PEA26C01,7877.0
2024,75 - 79 years,Male,South-East,PEA26C01,7839.0
2024,65 - 69 years,Male,Midland,PEA26C01,7794.0
2024,65 - 69 years,Female,Midland,PEA26C01,7770.0
2024,75 - 79 years,Male,Border,PEA26C01,7721.0
2023,75 - 79 years,Male,South-East,PEA26C01,7657.0
2023,65 - 69 years,Male,Midland,PEA26C01,7590.0
2023,65 - 69 years,Female,Midland,PEA26C01,7567.0
2023,75 - 79 years,Female,Border,PEA26C01,7546.0
2024,80 - 84 years,Male,South-West,PEA26C01,7385.0
2023,75 - 79 years,Male,Border,PEA26C01,7328.0
2024,80 - 84 years,Female,Mid-East,PEA26C01,7197.0
2023,80 - 84 years,Male,South-West,PEA26C01,6829.0
2023,80 - 84 years,Female,Mid-East,PEA26C01,6683.0
2024,70 - 74 years,Female,Midland,PEA26C01,6564.0
2024,70 - 74 years,Male,Midland,PEA26C01,6520.0
2023,70 - 74 years,Male,Midland,PEA26C01,6345.0
2023,70 - 74 years,Female,Midland,PEA26C01,6317.0
2024,85 years and over,Female,Mid-East,PEA26C01,6276.0
2024,80 - 84 years,Male,Mid-East,PEA26C01,6139.0
2024,80 - 84 years,Female,Mid-West,PEA26C01,6123.0
2024,80 - 84 years,Both sexes,Midland,PEA26C01,6073.0
2023,85 years and over,Female,Mid-East,PEA26C01,6008.0
2024,85 years and over,Female,West,PEA26C01,5921.0
2023,85 years and over,Female,West,PEA26C01,5881.0
2024,80 - 84 years,Female,West,PEA26C01,5877.0
2023,80 - 84 years,Female,Mid-West,PEA26C01,5874.0
2023,80 - 84 years,Both sexes,Midland,PEA26C01,5745.0
2023,80 - 84 years,Male,Mid-East,PEA26C01,5732.0
2024,85 years and over,Female,Mid-West,PEA26C01,5695.0
2023,80 - 84 years,Female,West,PEA26C01,5660.0
2024,85 years and over,Male,South-West,PEA26C01,5562.0
2023,85 years and over,Female,Mid-West,PEA26C01,5546.0
2024,80 - 84 years,Female,South-East,PEA26C01,5410.0
2024,80 - 84 years,Male,Mid-West,PEA26C01,5249.0
2023,85 years and over,Male,South-West,PEA26C01,5223.0
2024,75 - 79 years,Female,Midland,PEA26C01,5204.0
2024,85 years and over,Both sexes,Midland,PEA26C01,5161.0
2024,85 years and over,Female,South-East,PEA26C01,5140.0
2023,80 - 84 years,Female,South-East,PEA26C01,5104.0
2024,80 - 84 years,Male,West,PEA26C01,5102.0
2024,85 years and over,Female,Border,PEA26C01,5088.0
2024,80 - 84 years,Female,Border,PEA26C01,5032.0
2023,85 years and over,Female,South-East,PEA26C01,5031.0
2023,75 - 79 years,Female,Midland,PEA26C01,4999.0
2023,85 years and over,Both sexes,Midland,PEA26C01,4985.0
2023,80 - 84 years,Male,Mid-West,PEA26C01,4980.0
2023,80 - 84 years,Male,West,PEA26C01,4975.0
2024,80 - 84 years,Male,South-East,PEA26C01,4912.0
2023,85 years and over,Female,Border,PEA26C01,4857.0
2024,75 - 79 years,Male,Midland,PEA26C01,4844.0
2023,80 - 84 years,Female,Border,PEA26C01,4741.0
2024,80 - 84 years,Male,Border,PEA26C01,4677.0
2023,80 - 84 years,Male,South-East,PEA26C01,4640.0
2023,75 - 79 years,Male,Midland,PEA26C01,4622.0
2023,80 - 84 years,Male,Border,PEA26C01,4423.0
2024,85 years and over,Male,Mid-East,PEA26C01,4003.0
2024,85 years and over,Male,West,PEA26C01,3795.0
2023,85 years and over,Male,Mid-East,PEA26C01,3757.0
2024,85 years and over,Male,Mid-West,PEA26C01,3736.0
2023,85 years and over,Male,West,PEA26C01,3666.0
2023,85 years and over,Male,Mid-West,PEA26C01,3516.0
2024,80 - 84 years,Female,Midland,PEA26C01,3325.0
2024,85 years and over,Male,Border,PEA26C01,3297.0
2024,85 years and over,Male,South-East,PEA26C01,3286.0
2023,85 years and over,Male,South-East,PEA26C01,3171.0
2023,80 - 84 years,Female,Midland,PEA26C01,3111.0
2023,85 years and over,Male,Border,PEA26C01,3082.0
2024,85 years and over,Female,Midland,PEA26C01,3058.0
2023,85 years and over,Female,Midland,PEA26C01,2985.0
2024,80 - 84 years,Male,Midland,PEA26C01,2748.0
2023,80 - 84 years,Male,Midland,PEA26C01,2634.0
2024,85 years and over,Male,Midland,PEA26C01,2103.0
2023,85 years and over,Male,Midland,PEA26C01,2000.0
