year,age_group,sex,nuts_3_region,STATISTIC,value
2023,35 - 39 years,Male,Dublin,PEA26C01,60856.0
2024,30 - 34 years,Male,Dublin,PEA26C01,60709.0
2024,40 - 44 years,Both sexes,South-West,PEA26C01,60626.0
2023,65 - 69 years,Both sexes,Dublin,PEA26C01,60306.0
2023,45 - 49 years,Both sexes,Mid-East,PEA26C01,60256.0
2023,40 - 44 years,Both sexes,South-West,PEA26C01,60125.0
2023,30 - 34 years,Male,Dublin,PEA26C01,60057.0
2024,15 - 19 years,Both sexes,Mid-East,PEA26C01,58046.0
2024,80 - 84 years,Female,Ireland,PEA26C01,57424.0
2023,25 - 29 years,Female,Dublin,PEA26C01,57055.0
2024,50 - 54 years,Both sexes,Mid-East,PEA26C01,56877.0
2024,45 - 49 years,Both sexes,South-West,PEA26C01,56732.0
2023,25 - 29 years,Male,Dublin,PEA26C01,56148.0
2023,15 - 19 years,Both sexes,Mid-East,PEA26C01,56028.0
2024,25 - 29 years,Female,Dublin,PEA26C01,55785.0
2024,45 - 49 years,Female,Dublin,PEA26C01,55628.0
2024,85 years and over,Female,Ireland,PEA26C01,55619.0
2023,35 - 39 years,Both sexes,Mid-East,PEA26C01,55605.0
2023,45 - 49 years,Both sexes,South-West,PEA26C01,55539.0
2023,50 - 54 years,Both sexes,Mid-East,PEA26C01,55431.0
2024,25 - 29 years,Male,Dublin,PEA26C01,55175.0
2023,5 - 9 years,Both sexes,Mid-East,PEA26C01,54857.0
2023,80 - 84 years,Female,Ireland,PEA26C01,54682.0
2024,45 - 49 years,Male,Dublin,PEA26C01,54359.0
2023,45 - 49 years,Female,Dublin,PEA26C01,54182.0
2023,85 years and over,Female,Ireland,PEA26C01,53957.0
2024,10 - 14 years,Both sexes,South-West,PEA26C01,53593.0
2023,10 - 14 years,Both sexes,South-West,PEA26C01,53541.0
2024,35 - 39 years,Both sexes,Mid-East,PEA26C01,53470.0
2023,35 - 39 years,Both sexes,South-West,PEA26C01,53074.0
2024,50 - 54 years,Both sexes,South-West,PEA26C01,53051.0
2024,70 - 74 years,Both sexes,Dublin,PEA26C01,52813.0
2024,5 - 9 years,Both sexes,Mid-East,PEA26C01,52790.0
2023,45 - 49 years,Male,Dublin,PEA26C01,52621.0
2024,35 - 39 years,Both sexes,South-West,PEA26C01,52484.0
2023,70 - 74 years,Both sexes,Dublin,PEA26C01,51749.0
2024,10 - 14 years,Male,Dublin,PEA26C01,51385.0
2023,50 - 54 years,Both sexes,South-West,PEA26C01,51241.0
2024,15 - 19 years,Both sexes,South-West,PEA26C01,51133.0
2023,10 - 14 years,Male,Dublin,PEA26C01,50373.0
2024,50 - 54 years,Female,Dublin,PEA26C01,49310.0
2024,20 - 24 years,Both sexes,Mid-East,PEA26C01,48975.0
2024,10 - 14 years,Female,Dublin,PEA26C01,48931.0
2023,15 - 19 years,Both sexes,South-West,PEA26C01,48848.0
2023,10 - 14 years,Female,Dublin,PEA26C01,48361.0
2024,55 - 59 years,Both sexes,Mid-East,PEA26C01,48068.0
2024,80 - 84 years,Male,Ireland,PEA26C01,48060.0
2023,5 - 9 years,Both sexes,South-West,PEA26C01,48045.0
2024,55 - 59 years,Both sexes,South-West,PEA26C01,47718.0
2024,50 - 54 years,Male,Dublin,PEA26C01,47667.0
2023,20 - 24 years,Female,Dublin,PEA26C01,47470.0
2023,5 - 9 years,Male,Dublin,PEA26C01,47441.0
2024,5 - 9 years,Both sexes,South-West,PEA26C01,47420.0
2023,20 - 24 years,Male,Dublin,PEA26C01,47340.0
2024,5 - 9 years,Male,Dublin,PEA26C01,47245.0
2023,55 - 59 years,Both sexes,South-West,PEA26C01,47143.0
2023,20 - 24 years,Both sexes,Mid-East,PEA26C01,46945.0
2023,55 - 59 years,Both sexes,Mid-East,PEA26C01,46887.0
2023,50 - 54 years,Female,Dublin,PEA26C01,46823.0
2024,20 - 24 years,Both sexes,South-West,PEA26C01,46058.0
2023,0 - 4 years,Both sexes,Mid-East,PEA26C01,46046.0
2023,50 - 54 years,Male,Dublin,PEA26C01,46041.0
2024,30 - 34 years,Both sexes,South-West,PEA26C01,45778.0
2023,30 - 34 years,Both sexes,South-West,PEA26C01,45726.0
2023,80 - 84 years,Male,Ireland,PEA26C01,45427.0
2024,0 - 4 years,Both sexes,Mid-East,PEA26C01,45362.0
2023,5 - 9 years,Female,Dublin,PEA26C01,45269.0
2024,15 - 19 years,Male,Dublin,PEA26C01,45105.0
2024,5 - 9 years,Female,Dublin,PEA26C01,44933.0
2024,20 - 24 years,Male,Dublin,PEA26C01,44899.0
2023,15 - 19 years,Male,Dublin,PEA26C01,44718.0
2023,30 - 34 years,Both sexes,Mid-East,PEA26C01,44447.0
