year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,60 - 64 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,8658.0
2023,45 - 49 years,Both sexes,High Human Development Index (HDI),PEA27C01,8625.0
2024,35 - 39 years,Female,High Human Development Index (HDI),PEA27C01,8486.0
2024,25 - 29 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,8454.0
2023,55 - 59 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,8319.0
2024,40 - 44 years,Female,High Human Development Index (HDI),PEA27C01,8002.0
2023,60 - 64 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,7974.0
2023,35 - 39 years,Female,High Human Development Index (HDI),PEA27C01,7930.0
2024,35 - 39 years,Male,High Human Development Index (HDI),PEA27C01,7907.0
2023,70 - 74 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,7820.0
2023,45 - 49 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,7813.0
2024,70 - 74 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,7756.0
2024,40 - 44 years,Male,High Human Development Index (HDI),PEA27C01,7712.0
2024,30 - 34 years,Female,High Human Development Index (HDI),PEA27C01,7660.0
2024,60 - 64 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,7498.0
2024,65 - 69 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,7470.0
2023,30 - 34 years,Female,High Human Development Index (HDI),PEA27C01,7433.0
2024,20 - 24 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,7431.0
2023,35 - 39 years,Male,High Human Development Index (HDI),PEA27C01,7414.0
2023,40 - 44 years,Female,High Human Development Index (HDI),PEA27C01,7397.0
2024,35 - 39 years,Female,Medium Human Development Index (HDI),PEA27C01,7360.0
2024,30 - 34 years,Male,High Human Development Index (HDI),PEA27C01,7187.0
2023,40 - 44 years,Male,High Human Development Index (HDI),PEA27C01,7179.0
2023,35 - 39 years,Female,Medium Human Development Index (HDI),PEA27C01,7169.0
2024,40 - 44 years,Female,Medium Human Development Index (HDI),PEA27C01,7150.0
2024,15 - 19 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,7130.0
2023,65 - 69 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,7111.0
2023,40 - 44 years,Male,Very High Human Development Index (HDI),PEA27C01,7078.0
2023,20 - 24 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,7035.0
2024,40 - 44 years,Female,Very High Human Development Index (HDI),PEA27C01,7003.0
2024,40 - 44 years,Male,Very High Human Development Index (HDI),PEA27C01,6990.0
2024,35 - 39 years,Female,Very High Human Development Index (HDI),PEA27C01,6965.0
2023,35 - 39 years,Male,Very High Human Development Index (HDI),PEA27C01,6933.0
2023,30 - 34 years,Male,High Human Development Index (HDI),PEA27C01,6903.0
2024,35 - 39 years,Male,Very High Human Development Index (HDI),PEA27C01,6898.0
2023,60 - 64 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,6866.0
2024,40 - 44 years,Male,Medium Human Development Index (HDI),PEA27C01,6851.0
2024,55 - 59 years,Male,Very High Human Development Index (HDI),PEA27C01,6820.0
2024,35 - 39 years,Male,Medium Human Development Index (HDI),PEA27C01,6767.0
2023,50 - 54 years,Male,Very High Human Development Index (HDI),PEA27C01,6754.0
2023,35 - 39 years,Female,Very High Human Development Index (HDI),PEA27C01,6747.0
2023,30 - 34 years,Female,Medium Human Development Index (HDI),PEA27C01,6725.0
2024,50 - 54 years,Male,Very High Human Development Index (HDI),PEA27C01,6713.0
2024,30 - 34 years,Female,Medium Human Development Index (HDI),PEA27C01,6703.0
2023,40 - 44 years,Female,Very High Human Development Index (HDI),PEA27C01,6669.0
2023,55 - 59 years,Male,Very High Human Development Index (HDI),PEA27C01,6653.0
2024,75 - 79 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,6647.0
2023,40 - 44 years,Female,Medium Human Development Index (HDI),PEA27C01,6603.0
2023,35 - 39 years,Male,Medium Human Development Index (HDI),PEA27C01,6601.0
2023,15 - 19 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,6601.0
2023,30 - 34 years,Male,Very High Human Development Index (HDI),PEA27C01,6489.0
2023,45 - 49 years,Male,Very High Human Development Index (HDI),PEA27C01,6487.0
2023,40 - 44 years,Male,Medium Human Development Index (HDI),PEA27C01,6474.0
2024,30 - 34 years,Female,Very High Human Development Index (HDI),PEA27C01,6469.0
2024,15 - 19 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,6452.0
2023,30 - 34 years,Female,Very High Human Development Index (HDI),PEA27C01,6449.0
2024,10 - 14 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,6429.0
2023,10 - 14 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,6371.0
2024,30 - 34 years,Male,Very High Human Development Index (HDI),PEA27C01,6366.0
2023,75 - 79 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,6346.0
2024,30 - 34 years,Male,Medium Human Development Index (HDI),PEA27C01,6322.0
2024,45 - 49 years,Male,Very High Human Development Index (HDI),PEA27C01,6320.0
2023,30 - 34 years,Male,Medium Human Development Index (HDI),PEA27C01,6215.0
2024,10 - 14 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,6156.0
2023,10 - 14 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,6062.0
2024,65 - 69 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,6038.0
2023,70 - 74 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,6031.0
2024,70 - 74 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,5923.0
2023,15 - 19 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5880.0
2024,45 - 49 years,Female,Very High Human Development Index (HDI),PEA27C01,5754.0
2023,45 - 49 years,Female,Very High Human Development Index (HDI),PEA27C01,5692.0
2023,65 - 69 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5635.0
2024,60 - 64 years,Male,Very High Human Development Index (HDI),PEA27C01,5633.0
2024,55 - 59 years,Female,Very High Human Development Index (HDI),PEA27C01,5576.0
2024,20 - 24 years,Both sexes,High Human Development Index (HDI),PEA27C01,5512.0
2023,5 - 9 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5398.0
2024,50 - 54 years,Female,Very High Human Development Index (HDI),PEA27C01,5379.0
2023,55 - 59 years,Female,Very High Human Development Index (HDI),PEA27C01,5366.0
2024,5 - 9 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5350.0
2023,20 - 24 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,5340.0
2023,50 - 54 years,Female,Very High Human Development Index (HDI),PEA27C01,5316.0
2024,75 - 79 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,5298.0
2023,25 - 29 years,Female,High Human Development Index (HDI),PEA27C01,5279.0
2023,60 - 64 years,Male,Very High Human Development Index (HDI),PEA27C01,5258.0
2024,5 - 9 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,5250.0
2023,5 - 9 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,5098.0
2024,25 - 29 years,Female,High Human Development Index (HDI),PEA27C01,5070.0
2023,75 - 79 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,5069.0
2024,20 - 24 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,5066.0
2024,45 - 49 years,Male,High Human Development Index (HDI),PEA27C01,5052.0
2024,20 - 24 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5011.0
2023,20 - 24 years,Both sexes,High Human Development Index (HDI),PEA27C01,4959.0
2023,25 - 29 years,Female,Very High Human Development Index (HDI),PEA27C01,4930.0
2024,65 - 69 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,4921.0
2024,45 - 49 years,Female,High Human Development Index (HDI),PEA27C01,4915.0
2024,60 - 64 years,Female,Very High Human Development Index (HDI),PEA27C01,4752.0
2024,25 - 29 years,Female,Very High Human Development Index (HDI),PEA27C01,4733.0
2023,25 - 29 years,Female,Medium Human Development Index (HDI),PEA27C01,4728.0
2024,50 - 54 years,Both sexes,High Human Development Index (HDI),PEA27C01,4649.0
2023,10 - 14 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,4599.0
2024,10 - 14 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,4583.0
2024,Under 5 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,4574.0
2024,25 - 29 years,Female,Medium Human Development Index (HDI),PEA27C01,4570.0
2024,45 - 49 years,Male,Medium Human Development Index (HDI),PEA27C01,4564.0
2023,25 - 29 years,Male,High Human Development Index (HDI),PEA27C01,4552.0
2023,65 - 69 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,4549.0
2024,45 - 49 years,Female,Medium Human Development Index (HDI),PEA27C01,4488.0
2023,25 - 29 years,Male,Very High Human Development Index (HDI),PEA27C01,4468.0
2024,85 years and over,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,4463.0
2024,25 - 29 years,Male,High Human Development Index (HDI),PEA27C01,4460.0
2024,15 - 19 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,4443.0
2023,20 - 24 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4441.0
2023,60 - 64 years,Female,Very High Human Development Index (HDI),PEA27C01,4418.0
2023,70 - 74 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,4382.0
2023,Under 5 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,4374.0
2023,45 - 49 years,Male,High Human Development Index (HDI),PEA27C01,4344.0
2023,Under 5 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,4342.0
2023,15 - 19 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,4339.0
2024,70 - 74 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,4318.0
2024,Under 5 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,4305.0
2023,45 - 49 years,Female,High Human Development Index (HDI),PEA27C01,4281.0
2024,80 - 84 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,4273.0
2024,15 - 19 years,Both sexes,High Human Development Index (HDI),PEA27C01,4253.0
2023,50 - 54 years,Both sexes,High Human Development Index (HDI),PEA27C01,4234.0
2024,25 - 29 years,Male,Very High Human Development Index (HDI),PEA27C01,4178.0
2024,65 - 69 years,Male,Very High Human Development Index (HDI),PEA27C01,4163.0
2024,50 - 54 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4118.0
2023,25 - 29 years,Male,Medium Human Development Index (HDI),PEA27C01,4063.0
2023,85 years and over,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,3993.0
2023,65 - 69 years,Male,Very High Human Development Index (HDI),PEA27C01,3960.0
2023,45 - 49 years,Male,Medium Human Development Index (HDI),PEA27C01,3956.0
2024,35 - 39 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3955.0
2023,80 - 84 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,3940.0
2024,25 - 29 years,Male,Medium Human Development Index (HDI),PEA27C01,3884.0
2023,5 - 9 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,3873.0
2023,45 - 49 years,Female,Medium Human Development Index (HDI),PEA27C01,3857.0
2023,15 - 19 years,Both sexes,High Human Development Index (HDI),PEA27C01,3844.0
2024,40 - 44 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3809.0
2024,15 - 19 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3796.0
2024,10 - 14 years,Both sexes,High Human Development Index (HDI),PEA27C01,3788.0
2023,35 - 39 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3775.0
2024,5 - 9 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,3768.0
2024,75 - 79 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,3701.0
2023,10 - 14 years,Both sexes,High Human Development Index (HDI),PEA27C01,3694.0
2023,50 - 54 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3596.0
2024,85 years and over,Both sexes,Very High Human Development Index (HDI),PEA27C01,3548.0
2023,30 - 34 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3537.0
2024,30 - 34 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3528.0
2023,75 - 79 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,3527.0
2023,40 - 44 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3480.0
2024,80 - 84 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,3450.0
2024,70 - 74 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,3438.0
2023,70 - 74 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,3438.0
2023,15 - 19 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3386.0
2023,70 - 74 years,Male,Very High Human Development Index (HDI),PEA27C01,3356.0
2024,65 - 69 years,Female,Very High Human Development Index (HDI),PEA27C01,3307.0
2024,55 - 59 years,Both sexes,High Human Development Index (HDI),PEA27C01,3289.0
2024,70 - 74 years,Male,Very High Human Development Index (HDI),PEA27C01,3287.0
2024,10 - 14 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3279.0
2023,10 - 14 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3264.0
2024,5 - 9 years,Both sexes,High Human Development Index (HDI),PEA27C01,3220.0
2023,80 - 84 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,3205.0
2023,65 - 69 years,Female,Very High Human Development Index (HDI),PEA27C01,3151.0
2023,85 years and over,Both sexes,Very High Human Development Index (HDI),PEA27C01,3133.0
2024,20 - 24 years,Female,High Human Development Index (HDI),PEA27C01,3111.0
2023,5 - 9 years,Both sexes,High Human Development Index (HDI),PEA27C01,3078.0
2024,55 - 59 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2983.0
2023,55 - 59 years,Both sexes,High Human Development Index (HDI),PEA27C01,2964.0
2024,75 - 79 years,Male,Very High Human Development Index (HDI),PEA27C01,2953.0
2024,75 - 79 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,2946.0
2023,Under 5 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,2941.0
2024,5 - 9 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2862.0
2023,20 - 24 years,Female,High Human Development Index (HDI),PEA27C01,2860.0
2024,Under 5 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,2859.0
2023,20 - 24 years,Female,Very High Human Development Index (HDI),PEA27C01,2844.0
2023,5 - 9 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2823.0
2023,75 - 79 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,2819.0
2024,20 - 24 years,Female,Medium Human Development Index (HDI),PEA27C01,2810.0
