year,age_group,sex,human_development_index_rating,STATISTIC,value
2023,15 - 19 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,19123.0
2024,Under 5 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,19079.0
2023,15 - 19 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,19052.0
2024,60 - 64 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,19018.0
2023,20 - 24 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,18762.0
2023,35 - 39 years,Both sexes,High Human Development Index (HDI),PEA27C01,18550.0
2023,75 - 79 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,18515.0
2023,5 - 9 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,18445.0
2024,60 - 64 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,18369.0
2024,5 - 9 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,18223.0
2023,40 - 44 years,Both sexes,High Human Development Index (HDI),PEA27C01,18156.0
2023,60 - 64 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,17905.0
2024,30 - 34 years,Both sexes,High Human Development Index (HDI),PEA27C01,17728.0
2023,5 - 9 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,17603.0
2023,60 - 64 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,17404.0
2024,70 - 74 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,17352.0
2024,5 - 9 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,17346.0
2023,30 - 34 years,Both sexes,High Human Development Index (HDI),PEA27C01,17242.0
2023,70 - 74 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,17153.0
2024,40 - 44 years,Female,Very High Human Development Index (HDI),PEA27C01,16821.0
2023,40 - 44 years,Female,Very High Human Development Index (HDI),PEA27C01,16630.0
2023,40 - 44 years,Male,Very High Human Development Index (HDI),PEA27C01,16163.0
2024,40 - 44 years,Male,Very High Human Development Index (HDI),PEA27C01,16129.0
2023,Under 5 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,15890.0
2024,40 - 44 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,15829.0
2024,50 - 54 years,Male,Very High Human Development Index (HDI),PEA27C01,15580.0
2024,35 - 39 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,15566.0
2023,50 - 54 years,Male,Very High Human Development Index (HDI),PEA27C01,15565.0
2024,Under 5 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,15534.0
2024,35 - 39 years,Female,Very High Human Development Index (HDI),PEA27C01,15520.0
2023,35 - 39 years,Female,Very High Human Development Index (HDI),PEA27C01,15413.0
2024,Under 5 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,15372.0
2023,Under 5 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,15345.0
2024,45 - 49 years,Female,Very High Human Development Index (HDI),PEA27C01,15343.0
2023,45 - 49 years,Male,Very High Human Development Index (HDI),PEA27C01,15249.0
2024,65 - 69 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,15184.0
2023,35 - 39 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,15169.0
2024,45 - 49 years,Male,Very High Human Development Index (HDI),PEA27C01,15078.0
2023,45 - 49 years,Female,Very High Human Development Index (HDI),PEA27C01,15051.0
2023,40 - 44 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,14938.0
2023,35 - 39 years,Male,Very High Human Development Index (HDI),PEA27C01,14852.0
2024,35 - 39 years,Male,Very High Human Development Index (HDI),PEA27C01,14762.0
2024,50 - 54 years,Female,Very High Human Development Index (HDI),PEA27C01,14668.0
2024,55 - 59 years,Male,Very High Human Development Index (HDI),PEA27C01,14598.0
2023,65 - 69 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,14513.0
2023,55 - 59 years,Male,Very High Human Development Index (HDI),PEA27C01,14415.0
2024,65 - 69 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,14342.0
2024,75 - 79 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,14306.0
2023,50 - 54 years,Female,Very High Human Development Index (HDI),PEA27C01,14304.0
2024,30 - 34 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,14286.0
2023,30 - 34 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,14180.0
2023,30 - 34 years,Female,Very High Human Development Index (HDI),PEA27C01,14081.0
2024,30 - 34 years,Female,Very High Human Development Index (HDI),PEA27C01,13974.0
2024,55 - 59 years,Female,Very High Human Development Index (HDI),PEA27C01,13930.0
2023,75 - 79 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,13849.0
2023,55 - 59 years,Female,Very High Human Development Index (HDI),PEA27C01,13791.0
2023,30 - 34 years,Male,Very High Human Development Index (HDI),PEA27C01,13707.0
2024,30 - 34 years,Male,Very High Human Development Index (HDI),PEA27C01,13681.0
2023,65 - 69 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,13677.0
2024,45 - 49 years,Both sexes,High Human Development Index (HDI),PEA27C01,13310.0
2024,60 - 64 years,Male,Very High Human Development Index (HDI),PEA27C01,12922.0
2024,10 - 14 years,Male,Very High Human Development Index (HDI),PEA27C01,12901.0
2023,10 - 14 years,Male,Very High Human Development Index (HDI),PEA27C01,12876.0
2024,60 - 64 years,Female,Very High Human Development Index (HDI),PEA27C01,12558.0
2023,25 - 29 years,Both sexes,High Human Development Index (HDI),PEA27C01,12558.0
2024,25 - 29 years,Female,Very High Human Development Index (HDI),PEA27C01,12290.0
2023,60 - 64 years,Male,Very High Human Development Index (HDI),PEA27C01,12276.0
2023,10 - 14 years,Female,Very High Human Development Index (HDI),PEA27C01,12232.0
2024,25 - 29 years,Both sexes,High Human Development Index (HDI),PEA27C01,12220.0
2024,10 - 14 years,Female,Very High Human Development Index (HDI),PEA27C01,12197.0
2023,25 - 29 years,Female,Very High Human Development Index (HDI),PEA27C01,12160.0
2024,80 - 84 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,12147.0
2024,70 - 74 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,12104.0
2023,45 - 49 years,Both sexes,High Human Development Index (HDI),PEA27C01,12086.0
2023,60 - 64 years,Female,Very High Human Development Index (HDI),PEA27C01,11904.0
2023,70 - 74 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,11891.0
2023,25 - 29 years,Male,Very High Human Development Index (HDI),PEA27C01,11882.0
2024,25 - 29 years,Male,Very High Human Development Index (HDI),PEA27C01,11855.0
2024,15 - 19 years,Male,Very High Human Development Index (HDI),PEA27C01,11723.0
2023,15 - 19 years,Male,Very High Human Development Index (HDI),PEA27C01,11677.0
2024,70 - 74 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,11588.0
2023,5 - 9 years,Male,Very High Human Development Index (HDI),PEA27C01,11573.0
2023,80 - 84 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,11438.0
2023,70 - 74 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,11352.0
2024,5 - 9 years,Male,Very High Human Development Index (HDI),PEA27C01,11305.0
2024,15 - 19 years,Female,Very High Human Development Index (HDI),PEA27C01,11299.0
2023,15 - 19 years,Female,Very High Human Development Index (HDI),PEA27C01,11239.0
2024,85 years and over,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,11225.0
2023,5 - 9 years,Female,Very High Human Development Index (HDI),PEA27C01,11057.0
2023,20 - 24 years,Male,Very High Human Development Index (HDI),PEA27C01,10946.0
2024,45 - 49 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,10908.0
2024,20 - 24 years,Male,Very High Human Development Index (HDI),PEA27C01,10823.0
2024,20 - 24 years,Female,Very High Human Development Index (HDI),PEA27C01,10769.0
2023,20 - 24 years,Female,Very High Human Development Index (HDI),PEA27C01,10764.0
2024,5 - 9 years,Female,Very High Human Development Index (HDI),PEA27C01,10724.0
2024,65 - 69 years,Male,Very High Human Development Index (HDI),PEA27C01,10680.0
