year,age_group,nuts_3_region,STATISTIC,value
2022,35 - 39 years,Midland,VSA104C02,75.8
1987,20 - 24 years,Ireland,VSA104C02,75.4
1985,35 - 39 years,Ireland,VSA104C02,75.3
2001,35 - 39 years,Ireland,VSA104C02,75.3
2022,25 - 29 years,South-East,VSA104C02,75.2
2016,25 - 29 years,Ireland,VSA104C02,75.0
2022,25 - 29 years,Mid-East,VSA104C02,74.9
2023,25 - 29 years,South-East,VSA104C02,74.7
1986,35 - 39 years,Ireland,VSA104C02,73.4
2017,25 - 29 years,Ireland,VSA104C02,72.8
2018,25 - 29 years,Ireland,VSA104C02,71.9
2000,35 - 39 years,Ireland,VSA104C02,71.3
2019,25 - 29 years,Ireland,VSA104C02,69.6
1988,20 - 24 years,Ireland,VSA104C02,69.6
1998,35 - 39 years,Ireland,VSA104C02,69.3
2022,25 - 29 years,Mid-West,VSA104C02,68.8
1987,35 - 39 years,Ireland,VSA104C02,68.6
1999,35 - 39 years,Ireland,VSA104C02,68.5
2023,25 - 29 years,Mid-West,VSA104C02,67.7
2021,25 - 29 years,Ireland,VSA104C02,66.8
1997,35 - 39 years,Ireland,VSA104C02,66.6
2020,25 - 29 years,Ireland,VSA104C02,66.0
1989,20 - 24 years,Ireland,VSA104C02,64.0
1991,20 - 24 years,Ireland,VSA104C02,64.0
1996,35 - 39 years,Ireland,VSA104C02,63.9
1991,35 - 39 years,Ireland,VSA104C02,63.4
1990,20 - 24 years,Ireland,VSA104C02,63.3
1988,35 - 39 years,Ireland,VSA104C02,63.2
1990,35 - 39 years,Ireland,VSA104C02,63.1
1989,35 - 39 years,Ireland,VSA104C02,62.4
2021,25 - 29 years,West,VSA104C02,61.4
1992,35 - 39 years,Ireland,VSA104C02,61.3
2021,25 - 29 years,South-West,VSA104C02,61.1
1995,35 - 39 years,Ireland,VSA104C02,60.3
2022,25 - 29 years,Ireland,VSA104C02,60.1
1992,20 - 24 years,Ireland,VSA104C02,58.9
2023,25 - 29 years,Ireland,VSA104C02,58.6
1994,35 - 39 years,Ireland,VSA104C02,58.6
1993,35 - 39 years,Ireland,VSA104C02,58.5
2022,25 - 29 years,West,VSA104C02,56.8
2023,25 - 29 years,West,VSA104C02,55.1
1993,20 - 24 years,Ireland,VSA104C02,53.8
2001,20 - 24 years,Ireland,VSA104C02,53.3
2002,20 - 24 years,Ireland,VSA104C02,52.8
2022,25 - 29 years,South-West,VSA104C02,52.6
1998,20 - 24 years,Ireland,VSA104C02,52.5
1996,20 - 24 years,Ireland,VSA104C02,52.2
2000,20 - 24 years,Ireland,VSA104C02,51.6
1999,20 - 24 years,Ireland,VSA104C02,51.0
1997,20 - 24 years,Ireland,VSA104C02,50.9
1994,20 - 24 years,Ireland,VSA104C02,50.7
2003,20 - 24 years,Ireland,VSA104C02,50.3
1995,20 - 24 years,Ireland,VSA104C02,50.3
2021,25 - 29 years,Dublin,VSA104C02,50.2
2023,25 - 29 years,South-West,VSA104C02,49.7
2008,20 - 24 years,Ireland,VSA104C02,49.6
2006,20 - 24 years,Ireland,VSA104C02,49.5
2004,20 - 24 years,Ireland,VSA104C02,49.1
2009,20 - 24 years,Ireland,VSA104C02,48.9
2011,20 - 24 years,Ireland,VSA104C02,48.8
2010,20 - 24 years,Ireland,VSA104C02,48.7
2007,20 - 24 years,Ireland,VSA104C02,48.5
1969,40 - 44 years,Ireland,VSA104C02,48.1
2012,20 - 24 years,Ireland,VSA104C02,48.0
1971,40 - 44 years,Ireland,VSA104C02,46.6
2022,25 - 29 years,Dublin,VSA104C02,46.1
2013,20 - 24 years,Ireland,VSA104C02,46.0
2005,20 - 24 years,Ireland,VSA104C02,45.8
1970,40 - 44 years,Ireland,VSA104C02,45.3
2023,25 - 29 years,Dublin,VSA104C02,43.9
2014,20 - 24 years,Ireland,VSA104C02,43.4
1972,40 - 44 years,Ireland,VSA104C02,43.4
2015,20 - 24 years,Ireland,VSA104C02,42.1
1973,40 - 44 years,Ireland,VSA104C02,41.3
1974,40 - 44 years,Ireland,VSA104C02,39.9
2016,20 - 24 years,Ireland,VSA104C02,38.6
2021,20 - 24 years,Midland,VSA104C02,38.1
2017,20 - 24 years,Ireland,VSA104C02,37.6
1975,40 - 44 years,Ireland,VSA104C02,36.8
2023,20 - 24 years,Midland,VSA104C02,36.0
2022,20 - 24 years,South-East,VSA104C02,35.7
2022,20 - 24 years,Midland,VSA104C02,35.7
2018,20 - 24 years,Ireland,VSA104C02,35.7
1976,40 - 44 years,Ireland,VSA104C02,34.8
2021,20 - 24 years,Mid-West,VSA104C02,33.9
2021,20 - 24 years,South-East,VSA104C02,33.7
1977,40 - 44 years,Ireland,VSA104C02,33.2
2022,20 - 24 years,Mid-West,VSA104C02,32.2
2019,20 - 24 years,Ireland,VSA104C02,31.9
2022,20 - 24 years,Border,VSA104C02,31.7
2023,20 - 24 years,Border,VSA104C02,31.1
1978,40 - 44 years,Ireland,VSA104C02,31.1
2023,20 - 24 years,South-East,VSA104C02,30.5
1979,40 - 44 years,Ireland,VSA104C02,29.9
1980,40 - 44 years,Ireland,VSA104C02,29.6
2021,20 - 24 years,Mid-East,VSA104C02,29.6
2021,40 - 44 years,West,VSA104C02,29.1
2022,20 - 24 years,Mid-East,VSA104C02,28.5
2020,20 - 24 years,Ireland,VSA104C02,28.5
2021,20 - 24 years,Ireland,VSA104C02,28.0
2021,20 - 24 years,Border,VSA104C02,27.5
2022,20 - 24 years,Ireland,VSA104C02,27.3
2023,20 - 24 years,Mid-East,VSA104C02,27.1
1981,40 - 44 years,Ireland,VSA104C02,26.5
2021,40 - 44 years,South-West,VSA104C02,25.8
2023,20 - 24 years,Mid-West,VSA104C02,25.6
2023,20 - 24 years,Ireland,VSA104C02,25.6
2021,20 - 24 years,Dublin,VSA104C02,25.6
2023,20 - 24 years,Dublin,VSA104C02,25.4
2022,40 - 44 years,West,VSA104C02,25.2
1983,40 - 44 years,Ireland,VSA104C02,25.0
1982,40 - 44 years,Ireland,VSA104C02,24.9
2022,20 - 24 years,Dublin,VSA104C02,24.8
2021,40 - 44 years,Dublin,VSA104C02,24.2
2023,40 - 44 years,West,VSA104C02,23.5
2021,40 - 44 years,Ireland,VSA104C02,23.3
2021,20 - 24 years,West,VSA104C02,23.2
2021,20 - 24 years,South-West,VSA104C02,23.1
2018,40 - 44 years,Ireland,VSA104C02,23.0
1980,15 - 19 years,Ireland,VSA104C02,23.0
1975,15 - 19 years,Ireland,VSA104C02,22.8
2012,40 - 44 years,Ireland,VSA104C02,22.8
1979,15 - 19 years,Ireland,VSA104C02,22.7
2016,40 - 44 years,Ireland,VSA104C02,22.7
2021,40 - 44 years,Mid-West,VSA104C02,22.6
1974,15 - 19 years,Ireland,VSA104C02,22.6
2022,20 - 24 years,South-West,VSA104C02,22.5
1973,15 - 19 years,Ireland,VSA104C02,22.4
2011,40 - 44 years,Ireland,VSA104C02,22.4
2019,40 - 44 years,Ireland,VSA104C02,22.4
2014,40 - 44 years,Ireland,VSA104C02,22.3
2013,40 - 44 years,Ireland,VSA104C02,22.2
1981,15 - 19 years,Ireland,VSA104C02,22.2
2015,40 - 44 years,Ireland,VSA104C02,22.2
