STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,IE0,Ireland,Ireland,1,Male,Male,151676.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,IE0,Ireland,Ireland,2,Female,Female,146331.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,29001.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,14690.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,14311.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,92710.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,47441.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,45269.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,54857.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,28232.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,26625.0
