STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,22.0
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,20.2
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,23.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,23.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,22.8
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,24.7
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,25.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,25.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,2,Female,Female,26.5
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,-,Both sexes,Both sexes,29.4
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1,Male,Male,28.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,2,Female,Female,29.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,-,Both sexes,Both sexes,29.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1,Male,Male,28.7
