STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,38175.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),6811.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3041.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),5407.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),22916.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,19052.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),3246.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1512.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2617.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),11677.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,19123.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),3565.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1529.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2790.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),11239.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,38761.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),7730.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3015.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),6306.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),21710.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,18762.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),3501.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1458.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2857.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),10946.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,19999.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),4229.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1557.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),3449.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),10764.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,51103.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),12558.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),4176.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),10327.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),24042.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,24751.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),5966.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),2053.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),4850.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),11882.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,26352.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),6592.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),2123.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),5477.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),12160.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,65027.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),17242.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),5817.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),14180.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),27788.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,31735.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),8369.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),2821.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),6838.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),13707.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,33292.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),8873.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),2996.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),7342.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),14081.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,70878.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),18550.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),6894.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),15169.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),30265.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,34413.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),9015.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3258.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),7288.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),14852.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,36465.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),9535.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3636.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),7881.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),15413.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,72851.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),18156.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),6964.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),14938.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),32793.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,35924.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),8914.0
