STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),549.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1891.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2496.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,8891.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),2860.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),637.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2550.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2844.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,30381.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),9831.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),2361.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),8791.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),9398.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,14229.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),4552.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1146.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),4063.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),4468.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,16152.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),5279.0
