STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,value
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,36.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,21.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,133.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,211.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,162.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,94.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,34.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1976,1976,1976,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,3.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,21.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,130.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,205.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,166.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,93.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,33.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1977,1977,1977,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,3.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,21.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,126.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,201.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,167.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,96.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,31.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1978,1978,1978,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,22.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,125.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,202.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,168.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,94.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,29.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1979,1979,1979,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,23.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,125.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,202.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,165.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,97.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,29.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1980,1980,1980,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,22.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,117.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,190.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,161.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,93.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,26.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1981,1981,1981,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,20.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,110.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,185.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,156.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,91.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,24.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1982,1982,1982,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,18.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,102.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,172.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,146.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,84.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,25.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1983,1983,1983,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,1.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,18.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,95.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,163.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,138.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,78.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,21.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1984,1984,1984,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,1.9
